type,latitude,longitude,alt
T,48.41846,-4.47349833333,144.6
T,48.4184483333,-4.47350833333,144.3
T,48.4184383333,-4.47352,144.0
T,48.4184283333,-4.47353,143.7
T,48.4184183333,-4.47353833333,143.5
T,48.41841,-4.47354833333,143.3
T,48.4184016667,-4.47355666667,143.2
T,48.4183933333,-4.47356666667,143.1
T,48.4183866667,-4.47357666667,142.8
T,48.4183783333,-4.47359,142.6
T,48.4183716667,-4.47360166667,142.5
T,48.418365,-4.473615,142.3
T,48.4183583333,-4.47362833333,142.3
T,48.4183516667,-4.47364166667,142.2
T,48.418345,-4.47365333333,142.1
T,48.4183366667,-4.473665,142.0
T,48.4183283333,-4.47367666667,142.0
T,48.41832,-4.47368833333,142.0
T,48.41831,-4.4737,142.0
T,48.4183016667,-4.47371333333,141.8
T,48.418295,-4.47372666667,141.4
T,48.4182883333,-4.47374166667,140.9
T,48.4182816667,-4.47375166667,140.6
T,48.418275,-4.47376333333,140.2
T,48.4182683333,-4.47377833333,140.0
T,48.41826,-4.47379166667,139.9
T,48.4182533333,-4.47380333333,139.7
T,48.4182433333,-4.47381333333,139.6
T,48.4182316667,-4.47382333333,139.6
T,48.4182233333,-4.47383333333,139.7
T,48.4182133333,-4.47384666667,139.8
T,48.418205,-4.47385833333,140.0
T,48.4181966667,-4.47386833333,140.1
